obj_model;tau_diversity;p_value_diversity;top_1_diversity;top_5_mean_diversity;val_1_diversity;val_mean_5_diversity
densenet100bc;0.45757799928828674;3.816508344727864e-05;0.125;0.16477094503410292;0.327027027027027;0.3270270270270271
densenet100bc;0.45498548937730493;4.221994797486711e-05;0.05;0.1413090418353576;0.3675675675675676;0.3394594594594595
densenet100bc;0.4653555290212321;2.8103217383496835e-05;0.05;0.1413090418353576;0.3675675675675676;0.3394594594594595
densenet100bc;-0.27350979560857935;0.013829708221715892;0.575;0.532036267036267;0.27297297297297296;0.29405405405405405
densenet100bc;-0.2781125862649137;0.012509550868346847;0.575;0.436224665961508;0.27297297297297296;0.29405405405405405
densenet100bc;-0.3668401524039239;0.0009611692875838692;0.575;0.2952652855284434;0.27297297297297296;0.3291891891891892
densenet100bc;0.41609784071257805;0.00018040498805298706;0.0;0.12749206696575116;0.3684210526315789;0.32963988919667586
densenet100bc;0.42646788035650524;0.00012388031668549736;0.0;0.1036960036960037;0.3684210526315789;0.3335180055401662
densenet100bc;0.43424541008945056;9.29412884215514e-05;0.0;0.21153542206173787;0.3684210526315789;0.32022160664819943
densenet100bc;-0.2657322658756339;0.016772522403780233;0.825;0.4848727067148119;0.2520775623268698;0.30138504155124657
densenet100bc;-0.2827648979802835;0.010975054926336327;0.825;0.4848727067148119;0.2520775623268698;0.30138504155124657
densenet100bc;-0.35128509293803317;0.0015687611583708252;0.825;0.3172340153919101;0.2520775623268698;0.32299168975069253
densenet100bc;0.4790308004909626;1.5173344333296431e-05;0.2;0.1315040546619494;0.34285714285714286;0.3516883116883117
densenet100bc;0.48419555305690287;1.2266309748229037e-05;0.15;0.09489586752744647;0.35064935064935066;0.35740259740259744
densenet100bc;0.5255135735844252;2.0753450805891473e-06;0.025;0.12228003306950677;0.38181818181818183;0.3516883116883117
densenet100bc;-0.30342921324899247;0.00613853710415191;0.5;0.42515714094661466;0.2961038961038961;0.3174025974025974
densenet100bc;-0.3204201224774779;0.0038270993135449856;0.5;0.4214033871928609;0.2961038961038961;0.3174025974025974
densenet100bc;-0.3912300068699775;0.0004105269898397008;0.2;0.24122126174757758;0.34285714285714286;0.3522077922077922
