obj_model;tau_diversity;p_value_diversity;top_1_diversity;top_5_mean_diversity;val_1_diversity;val_mean_5_diversity
electra;0.4479713540078956;5.9021427690842746e-05;0.0;0.08570169359643044;0.384180790960452;0.35367231638418073
electra;0.44276238477524565;7.187754162377653e-05;0.175;0.07285364311680101;0.3389830508474576;0.36045197740113
electra;0.406299600146696;0.00026943287693707483;0.175;0.15740945398840134;0.3389830508474576;0.3423728813559322
electra;-0.3062233023629431;0.006066953666955738;0.525;0.47862706836391045;0.2824858757062147;0.2858757062146893
electra;-0.4475305765534726;6.180607857001555e-05;0.175;0.16279844621949885;0.3389830508474576;0.34576271186440677
electra;-0.5208969232649949;3.003664394595248e-06;0.075;0.10493750835856097;0.3672316384180791;0.36045197740112994
electra;0.5398312679795291;1.1510876113782215e-06;0.025;0.06818768160873424;0.4;0.37729729729729733
electra;0.6641089699604278;2.1823502526516595e-09;0.25;0.1307309333625123;0.31351351351351353;0.35243243243243244
electra;0.5061727236930357;5.1004456849216545e-06;0.45;0.3542423800318537;0.2702702702702703;0.3005405405405406
electra;-0.44561417382290436;6.003474081403903e-05;0.35;0.34254926991769097;0.2918918918918919;0.27675675675675676
electra;-0.5916136438049036;9.797759225829883e-08;0.025;0.12149402438876125;0.4;0.36108108108108106
electra;-0.7417825336984896;2.3337167078764816e-11;0.1;0.05174368700684491;0.3675675675675676;0.3751351351351352
electra;0.5213011718334343;2.4719534333853544e-06;0.0;0.06970918286707761;0.4075829383886256;0.3763033175355451
electra;0.5600116548903725;4.1878656008466726e-07;0.175;0.0566374269005848;0.3459715639810427;0.3829383886255924
electra;0.4103311204035448;0.00020913842978588436;0.175;0.09362785862785863;0.3459715639810427;0.3744075829383886
electra;-0.41188558373816125;0.00019952008502767727;0.375;0.39014935988620203;0.3033175355450237;0.2947867298578199
electra;-0.5536911038951243;5.981199582219319e-07;0.175;0.0904054054054054;0.3459715639810427;0.3630331753554502
electra;-0.5987221379473107;6.302538398565812e-08;0.0;0.15893423788160632;0.4075829383886256;0.35071090047393366
electra;0.5846109849263946;1.425871234523827e-07;0.225;0.08286884050041944;0.3131868131868132;0.3516483516483516
electra;0.6234986335911217;2.0011950484504227e-08;0.025;0.08882755224860488;0.3956043956043956;0.3549450549450549
electra;0.4731330587541775;2.0579511672462545e-05;0.175;0.30701979307242466;0.31868131868131866;0.30549450549450546
electra;-0.45398034079403304;4.4310224007669985e-05;0.275;0.41255309965836284;0.2857142857142857;0.27362637362637365
electra;-0.6329783037356804;1.2413560550375228e-08;0.025;0.06449836476152265;0.3956043956043956;0.356043956043956
electra;-0.7116439705645026;1.501094837281634e-10;0.025;0.015960960960960963;0.3956043956043956;0.3527472527472527
electra;0.39847285891651746;0.0003407919253470552;0.275;0.15274774774774774;0.3027027027027027;0.31891891891891894
electra;0.39847285891651746;0.0003407919253470552;0.275;0.22257364652101494;0.3027027027027027;0.3102702702702703
electra;0.2608893962287297;0.019011292428859287;0.275;0.3081148557464347;0.3027027027027027;0.29945945945945945
electra;-0.38184426584750625;0.0006020692336916626;0.175;0.36579597816439924;0.31351351351351353;0.3005405405405406
electra;-0.3823353840772965;0.0006010583670144292;0.425;0.28038607433344276;0.2918918918918919;0.31351351351351353
electra;-0.4581788898942368;3.807235666489791e-05;0.425;0.22433873144399458;0.2918918918918919;0.3102702702702703
electra;0.5899336327949366;1.0426275700146823e-07;0.05;0.14011695906432747;0.3958333333333333;0.3729166666666667
electra;0.558884494226782;4.675333891504786e-07;0.05;0.1490238416554206;0.3958333333333333;0.3729166666666667
electra;0.4346879399541638;8.878392176420935e-05;0.325;0.13471586971586974;0.3333333333333333;0.375
electra;-0.4155486911473212;0.0001806525854581114;0.175;0.34485580722422826;0.3541666666666667;0.32395833333333335
electra;-0.5725561527933415;2.5158751917637623e-07;0.325;0.1527417903733693;0.3333333333333333;0.36666666666666664
electra;-0.6287450560051299;1.4356948663034338e-08;0.05;0.14752234015391913;0.3958333333333333;0.384375
electra;0.5528825491061993;7.305741814379658e-07;0.45;0.2120787589208642;0.2777777777777778;0.32626262626262625
electra;0.5685301684205256;3.5200397863622694e-07;0.375;0.25018328044643834;0.2828282828282828;0.31717171717171716
electra;0.4955079449536691;9.03532665084958e-06;0.375;0.22661760951234636;0.2828282828282828;0.32626262626262625
electra;-0.42406161131152625;0.00014656790924603595;0.5;0.36702471702471706;0.26262626262626265;0.2828282828282828
electra;-0.5685301684205256;3.5200397863622694e-07;0.375;0.20760507471033787;0.2828282828282828;0.30808080808080807
electra;-0.6102571532587293;4.575845119130578e-08;0.45;0.24496164180374708;0.2777777777777778;0.3202020202020202
electra;0.48835287345816325;1.1442796081658549e-05;0.2;0.17247012194380615;0.3125;0.3363636363636363
electra;0.5169267117988006;3.405974935142725e-06;0.2;0.14050880840354527;0.3125;0.33636363636363636
electra;0.3584717900916305;0.0012777241308534447;0.2;0.3153996911891649;0.3125;0.2875
electra;-0.3729978871558319;0.000809489349608373;0.175;0.3459943952049215;0.32386363636363635;0.27386363636363636
electra;-0.5540041327306756;6.62296637478427e-07;0.2;0.19606436395910082;0.3125;0.32727272727272727
electra;-0.5974529834860508;7.951414660226799e-08;0.1;0.11050710629657998;0.3522727272727273;0.3397727272727273
electra;0.6312761633240669;1.336081545464067e-08;0.025;0.04316914080071975;0.4018264840182648;0.38447488584474887
electra;0.5249832569738134;2.30380530903508e-06;0.075;0.06428025191183087;0.3744292237442922;0.382648401826484
electra;0.4212828605345416;0.00014975290157215307;0.075;0.07611111111111112;0.3744292237442922;0.38082191780821917
electra;-0.428038607034374;0.00011808619909369983;0.325;0.341591773960195;0.3287671232876712;0.31780821917808216
electra;-0.5350870465567752;1.5274780489849104e-06;0.075;0.06428025191183087;0.3744292237442922;0.3671232876712328
electra;-0.6390536930570123;8.851697511083835e-09;0.025;0.08908286829339461;0.4018264840182648;0.3744292237442922
electra;0.5490358935559834;7.997546830706129e-07;0.025;0.1847698508224824;0.3717277486910995;0.33507853403141363
electra;0.6580642979500794;3.3084447996457492e-09;0.075;0.18014996778154674;0.35602094240837695;0.3361256544502618
electra;0.4789462050169217;1.667047954371517e-05;0.325;0.16908505671663568;0.31413612565445026;0.3549738219895288
electra;-0.394832166046401;0.00038933510715216674;0.4;0.4444958723906092;0.29842931937172773;0.2963350785340314
electra;-0.6199208625540302;2.6032276064082506e-08;0.1;0.1276321260531787;0.3507853403141361;0.33507853403141363
electra;-0.6788316130727643;1.046216352709798e-09;0.075;0.08942523495155075;0.35602094240837695;0.3528795811518325
distill;-0.07917538890523637;0.47655301615923007;0.375;0.17266689766689766;0.3142857142857143;0.35809523809523813
distill;0.4270279172102093;0.00012335412201976175;0.25;0.17614922614922618;0.34285714285714286;0.359047619047619
distill;0.47375437623625044;2.049073738654355e-05;0.075;0.1690771540771541;0.38571428571428573;0.35809523809523813
distill;-0.014295868947786861;0.8978444540329032;0.05;0.3567611336032389;0.3952380952380952;0.3295238095238095
distill;-0.11979664286076817;0.28281070801651687;0.375;0.18476158344579396;0.3142857142857143;0.3504761904761905
distill;-0.5853786950206821;1.4166370829010274e-07;0.375;0.21903958614484925;0.3142857142857143;0.34190476190476193
distill;0.1785325467668887;0.10750296793880491;0.1;0.07778957094746569;0.39473684210526316;0.39473684210526316
distill;0.36482737817581606;0.001005381340289812;0.175;0.2209022990601938;0.3815789473684211;0.3684210526315789
distill;0.38035194745989337;0.0006058661452922408;0.125;0.10552728842202526;0.39035087719298245;0.38859649122807016
distill;0.006481046092494993;0.9534855887458404;0.775;0.4625275680538838;0.17543859649122806;0.2736842105263158
distill;-0.4705239463151365;2.2897660107529572e-05;0.325;0.11752641305272886;0.3508771929824561;0.38596491228070173
distill;-0.6572067663592714;3.1249709336846144e-09;0.125;0.14660642423800319;0.39035087719298245;0.3921052631578947
distill;0.1909717164142284;0.08443295941499034;0.025;0.04713505002978687;0.4337899543378995;0.4246575342465754
